Name,Number,Position,Shoots,Height,Weight,Age,Draft Year,Team,GP,G,1A,2A,Primary Points,Points,Shots,Shooting Percentage,+/-,PIM,Face-offs Won,Face-offs Taken,Face-off Win%,G/GP,1A/GP,2A/GP,Primary Points/GP,Points/GP,Shots/GP,Goals Created,Goals Created/GP,ES G,ES 1A,ES 2A,ES Primary Points,ES Points,ES G/GP,ES 1A/GP,ES 2A/GP,ES Primary Points/GP,ES Points/GP,ES Goals Created,ES Goals Created/GP,ES GF,ES GA,ES GF%,ES Team GF,ES Team GA,ES GF%Rel,ES eTOI,ES eG/60,ES e1A/60,ES e2A/60,ES ePrimary Points/60,ES ePoints/60,ES eGoals Created/60,PP G,PP 1A,PP 2A,PP Primary Points,PP Points,PP G/GP,PP 1A/GP,PP 2A/GP,PP Primary Points/GP,PP Points/GP,PP Goals Created,PP Goals Created/GP,Age Adjusted G,Age Adjusted 1A,Age Adjusted 2A,Age Adjusted Primary Points,Age Adjusted Points,Age Adjusted G/GP,Age Adjusted 1A/GP,Age Adjusted 2A/GP,Age Adjusted Primary Points/GP,Age Adjusted Points/GP,Era Adjusted G,Era Adjusted 1A,Era Adjusted 2A,Era Adjusted Primary Points,Era Adjusted Points,Era Adjusted G/GP,Era Adjusted 1A/GP,Era Adjusted 2A/GP,Era Adjusted Primary Points/GP,Era Adjusted Points/GP,ES Age Adjusted G,ES Age Adjusted 1A,ES Age Adjusted 2A,ES Age Adjusted Primary Points,ES Age Adjusted Points,ES Age Adjusted G/GP,ES Age Adjusted 1A/GP,ES Age Adjusted 2A/GP,ES Age Adjusted Primary Points/GP,ES Age Adjusted Points/GP,ES Age Adjusted G/60,ES Age Adjusted 1A/60,ES Age Adjusted 2A/60,ES Age Adjusted Primary Points/60,ES Age Adjusted Points/60,ES Era Adjusted G,ES Era Adjusted 1A,ES Era Adjusted 2A,ES Era Adjusted Primary Points,ES Era Adjusted Points,ES Era Adjusted G/GP,ES Era Adjusted 1A/GP,ES Era Adjusted 2A/GP,ES Era Adjusted Primary Points/GP,ES Era Adjusted Points/GP,ES Era Adjusted G/60,ES Era Adjusted 1A/60,ES Era Adjusted 2A/60,ES Era Adjusted Primary Points/60,ES Era Adjusted Points/60,Age and Era Adjusted G,Age and Era Adjusted 1A,Age and Era Adjusted 2A,Age and Era Adjusted Primary Points,Age and Era Adjusted Points,Age and Era Adjusted G/GP,Age and Era Adjusted 1A/GP,Age and Era Adjusted 2A/GP,Age and Era Adjusted Primary Points/GP,Age and Era Adjusted Points/GP,ES Age and Era Adjusted G,ES Age and Era Adjusted 1A,ES Age and Era Adjusted 2A,ES Age and Era Adjusted Primary Points,ES Age and Era Adjusted Points,ES Age and Era Adjusted G/GP,ES Age and Era Adjusted 1A/GP,ES Age and Era Adjusted 2A/GP,ES Age and Era Adjusted Primary Points/GP,ES Age and Era Adjusted Points/GP,ES Age and Era Adjusted G/60,ES Age and Era Adjusted 1A/60,ES Age and Era Adjusted 2A/60,ES Age and Era Adjusted Primary Points/60,ES Age and Era Adjusted Points/60,ES IPP
Olli Juolevi,4,D,L,6'02,180,17.364,2016,London Knights,57,9,18,14,27,41,131,6.87,37,16,0,0,0.0,0.158,0.316,0.246,0.474,0.719,2.298,13.1,0.23,5,8,4,13,17,0.088,0.14,0.07,0.228,0.298,6.1,0.107,63,24,72.414,179,83,6.128,14.527,0.362,0.58,0.29,0.942,1.232,0.442,4,10,10,14,24,0.07,0.175,0.175,0.246,0.421,7.0,0.123,9.217,18.417,14.334,27.633,41.967,0.162,0.323,0.251,0.485,0.736,8.044,16.125,12.542,24.169,36.711,0.141,0.283,0.22,0.424,0.644,5.107,8.165,4.084,13.272,17.356,0.09,0.143,0.072,0.233,0.304,0.37,0.592,0.296,0.962,1.258,4.581,7.338,3.666,11.919,15.585,0.08,0.129,0.064,0.209,0.273,0.332,0.532,0.266,0.864,1.13,8.238,16.5,12.842,24.739,37.581,0.145,0.289,0.225,0.434,0.659,4.678,7.487,3.742,12.165,15.908,0.082,0.131,0.066,0.213,0.279,0.339,0.543,0.271,0.881,1.153,26.984
Kyle Jenkins,6,D,L,6'01,171,19.4,2014,Peterborough Petes,62,3,19,14,22,36,123,2.439,8,34,0,1,0.0,0.048,0.306,0.226,0.355,0.581,1.984,10.0,0.161,2,14,8,16,24,0.032,0.226,0.129,0.258,0.387,6.8,0.11,72,60,54.545,181,165,3.61,16.551,0.117,0.819,0.468,0.936,1.403,0.398,1,5,6,6,12,0.016,0.081,0.097,0.097,0.194,3.2,0.052,1.991,12.855,9.336,14.846,24.182,0.032,0.207,0.151,0.239,0.39,2.678,17.025,12.542,19.703,32.245,0.043,0.275,0.202,0.318,0.52,1.402,9.976,5.65,11.377,17.027,0.023,0.161,0.091,0.184,0.275,0.082,0.583,0.33,0.665,0.996,1.831,12.866,7.344,14.697,22.041,0.03,0.208,0.118,0.237,0.355,0.107,0.752,0.429,0.859,1.288,1.774,11.489,8.351,13.263,21.615,0.029,0.185,0.135,0.214,0.349,1.288,9.211,5.21,10.5,15.709,0.021,0.149,0.084,0.169,0.253,0.075,0.539,0.305,0.614,0.919,33.333
Josh Sterk,23,C,L,5'11,183,20.66,2013,London Knights,64,9,22,11,31,42,123,7.317,-5,22,186,380,48.95,0.141,0.344,0.172,0.484,0.656,1.922,14.0,0.219,6,14,6,20,26,0.094,0.219,0.094,0.313,0.406,9.1,0.142,37,40,48.052,140,159,1.656,12.847,0.438,1.022,0.438,1.459,1.897,0.664,3,8,5,11,16,0.047,0.125,0.078,0.172,0.25,4.9,0.077,3.967,10.166,4.906,14.133,19.038,0.062,0.159,0.077,0.221,0.297,8.044,19.727,9.845,27.771,37.616,0.126,0.308,0.154,0.434,0.588,3.015,7.307,3.068,10.321,13.39,0.047,0.114,0.048,0.161,0.209,0.22,0.533,0.224,0.753,0.977,5.499,12.866,5.503,18.365,23.868,0.086,0.201,0.086,0.287,0.373,0.401,0.939,0.402,1.34,1.742,3.53,9.059,4.374,12.589,16.963,0.055,0.142,0.068,0.197,0.265,2.788,6.788,2.843,9.576,12.419,0.044,0.106,0.044,0.15,0.194,0.203,0.495,0.207,0.699,0.906,70.27
Jacob Graves,44,D,R,6'02,194,20.468,2013,Kingston Frontenacs,69,1,12,8,13,21,42,2.381,33,104,0,0,0.0,0.014,0.174,0.116,0.188,0.304,0.609,6.2,0.09,1,11,8,12,20,0.014,0.159,0.116,0.174,0.29,5.9,0.086,65,35,65.0,171,135,13.544,14.819,0.059,0.645,0.469,0.704,1.174,0.346,0,1,0,1,1,0.0,0.014,0.0,0.014,0.014,0.3,0.004,0.475,5.937,3.837,6.412,10.249,0.007,0.086,0.056,0.093,0.149,0.892,10.735,7.154,11.627,18.781,0.013,0.156,0.104,0.169,0.272,0.533,6.06,4.329,6.593,10.922,0.008,0.088,0.063,0.096,0.158,0.031,0.356,0.254,0.387,0.641,0.915,10.099,7.344,11.014,18.358,0.013,0.146,0.106,0.16,0.266,0.054,0.593,0.431,0.647,1.078,0.422,5.282,3.42,5.704,9.124,0.006,0.077,0.05,0.083,0.132,0.491,5.618,4.01,6.109,10.119,0.007,0.081,0.058,0.089,0.147,0.029,0.33,0.235,0.358,0.594,30.769
Noel Hoefenmayer,2,D,L,6'00,183,16.69,2017,Ottawa 67's,45,2,1,2,3,5,34,5.882,-18,18,0,0,0.0,0.044,0.022,0.044,0.067,0.111,0.756,1.7,0.038,2,0,1,2,3,0.044,0.0,0.022,0.044,0.067,1.2,0.027,17,34,33.333,105,112,-19.679,12.352,0.216,0.0,0.108,0.216,0.324,0.13,0,1,1,1,2,0.0,0.022,0.022,0.022,0.044,0.5,0.011,2.287,1.138,2.284,3.425,5.709,0.051,0.025,0.051,0.076,0.127,1.785,0.892,1.785,2.677,4.462,0.04,0.02,0.04,0.059,0.099,2.255,0.0,1.125,2.255,3.38,0.05,0.0,0.025,0.05,0.075,0.243,0.0,0.121,0.243,0.365,1.831,0.0,0.915,1.831,2.746,0.041,0.0,0.02,0.041,0.061,0.198,0.0,0.099,0.198,0.297,2.042,1.016,2.039,3.057,5.097,0.045,0.023,0.045,0.068,0.113,2.062,0.0,1.028,2.062,3.091,0.046,0.0,0.023,0.046,0.069,0.223,0.0,0.111,0.223,0.334,17.647
Hudson Wilson,18,D,L,6'02,180,16.37,2017,Ottawa 67's,36,1,1,1,2,3,14,7.143,-5,22,0,0,0.0,0.028,0.028,0.028,0.056,0.083,0.389,1.0,0.028,0,0,1,0,1,0.0,0.0,0.028,0.0,0.028,0.2,0.006,18,23,43.902,96,100,-6.421,11.433,0.0,0.0,0.146,0.0,0.146,0.029,1,1,0,2,2,0.028,0.028,0.0,0.056,0.056,0.8,0.022,1.2,1.192,1.198,2.392,3.59,0.033,0.033,0.033,0.066,0.1,0.892,0.892,0.892,1.784,2.676,0.025,0.025,0.025,0.05,0.074,0.0,0.0,1.175,0.0,1.175,0.0,0.0,0.033,0.0,0.033,0.0,0.0,0.171,0.0,0.171,0.0,0.0,0.915,0.0,0.915,0.0,0.0,0.025,0.0,0.025,0.0,0.0,0.133,0.0,0.133,1.071,1.065,1.069,2.135,3.205,0.03,0.03,0.03,0.059,0.089,0.0,0.0,1.073,0.0,1.073,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.156,0.0,0.156,5.556
David Levin,71,LW,L,5'10,167,15.997,2018,Sudbury Wolves,47,9,16,5,25,30,80,11.25,-26,20,264,609,43.35,0.191,0.34,0.106,0.532,0.638,1.702,10.7,0.228,6,14,3,20,23,0.128,0.298,0.064,0.426,0.489,8.0,0.17,30,50,37.5,99,174,1.749,13.54,0.566,1.32,0.283,1.886,2.169,0.754,3,2,2,5,7,0.064,0.043,0.043,0.106,0.149,2.7,0.057,11.394,20.094,6.318,31.488,37.805,0.242,0.428,0.134,0.67,0.804,8.044,14.326,4.467,22.37,26.837,0.171,0.305,0.095,0.476,0.571,7.42,17.184,3.697,24.603,28.301,0.158,0.366,0.079,0.523,0.602,0.7,1.62,0.349,2.32,2.668,5.499,12.866,2.748,18.365,21.113,0.117,0.274,0.058,0.391,0.449,0.518,1.213,0.259,1.731,1.99,10.191,18.011,5.648,28.202,33.85,0.217,0.383,0.12,0.6,0.72,6.789,15.757,3.38,22.546,25.925,0.144,0.335,0.072,0.48,0.552,0.64,1.486,0.319,2.126,2.444,76.667
Hayden Davis,6,D,R,6'01,194,16.153,2017,Niagara IceDogs,40,0,2,0,2,2,21,0.0,-9,14,0,0,0.0,0.0,0.05,0.0,0.05,0.05,0.525,0.6,0.015,0,2,0,2,2,0.0,0.05,0.0,0.05,0.05,0.6,0.015,15,24,38.462,97,86,-18.482,11.316,0.0,0.265,0.0,0.265,0.265,0.08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.459,0.0,2.459,2.459,0.0,0.061,0.0,0.061,0.061,0.0,1.785,0.0,1.785,1.785,0.0,0.045,0.0,0.045,0.045,0.0,2.408,0.0,2.408,2.408,0.0,0.06,0.0,0.06,0.06,0.0,0.319,0.0,0.319,0.319,0.0,1.831,0.0,1.831,1.831,0.0,0.046,0.0,0.046,0.046,0.0,0.243,0.0,0.243,0.243,0.0,2.196,0.0,2.196,2.196,0.0,0.055,0.0,0.055,0.055,0.0,2.2,0.0,2.2,2.2,0.0,0.055,0.0,0.055,0.055,0.0,0.292,0.0,0.292,0.292,13.333
Jacob Paquette,6,D,L,6'02,198,16.307,2017,Kingston Frontenacs,56,3,1,9,4,13,35,8.571,24,24,0,0,0.0,0.054,0.018,0.161,0.071,0.232,0.625,3.6,0.064,2,1,9,3,12,0.036,0.018,0.161,0.054,0.214,3.1,0.055,49,27,64.474,162,104,5.0,13.633,0.157,0.079,0.707,0.236,0.943,0.244,1,0,0,1,1,0.018,0.0,0.0,0.018,0.018,0.5,0.009,3.633,1.203,10.882,4.836,15.719,0.065,0.021,0.194,0.086,0.281,2.678,0.892,8.05,3.57,11.62,0.048,0.016,0.144,0.064,0.208,2.376,1.18,10.66,3.556,14.216,0.042,0.021,0.19,0.064,0.254,0.187,0.093,0.838,0.279,1.117,1.831,0.915,8.266,2.746,11.012,0.033,0.016,0.148,0.049,0.197,0.144,0.072,0.65,0.216,0.866,3.245,1.074,9.739,4.319,14.058,0.058,0.019,0.174,0.077,0.251,2.172,1.078,9.774,3.25,13.024,0.039,0.019,0.175,0.058,0.233,0.171,0.085,0.768,0.255,1.024,24.49
Austen Keating,9,LW,L,5'11,162,16.526,2017,Ottawa 67's,50,13,11,8,24,32,77,16.883,4,8,101,223,45.29,0.26,0.22,0.16,0.48,0.64,1.54,12.6,0.252,9,10,7,19,26,0.18,0.2,0.14,0.38,0.52,10.1,0.202,38,33,53.521,136,127,2.479,13.34,0.81,0.9,0.63,1.709,2.339,0.909,4,1,1,5,6,0.08,0.02,0.02,0.1,0.12,2.5,0.05,15.241,12.824,9.366,28.065,37.431,0.305,0.256,0.187,0.561,0.749,11.629,9.838,7.154,21.467,28.621,0.233,0.197,0.143,0.429,0.572,10.38,11.474,8.054,21.854,29.908,0.208,0.229,0.161,0.437,0.598,0.934,1.032,0.724,1.966,2.69,8.255,9.178,6.423,17.433,23.856,0.165,0.184,0.128,0.349,0.477,0.743,0.826,0.578,1.569,2.147,13.64,11.478,8.379,25.118,33.498,0.273,0.23,0.168,0.502,0.67,9.509,10.514,7.38,20.024,27.404,0.19,0.21,0.148,0.4,0.548,0.855,0.946,0.664,1.801,2.465,68.421
Ben Jones,3,C,L,6'00,167,16.551,2017,Niagara IceDogs,61,5,2,2,7,9,52,9.615,-10,16,131,303,43.23,0.082,0.033,0.033,0.115,0.148,0.852,4.6,0.075,5,2,2,7,9,0.082,0.033,0.033,0.115,0.148,4.6,0.075,12,22,35.294,138,128,-19.016,8.761,0.561,0.225,0.225,0.786,1.01,0.516,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.323,2.333,8.163,10.496,0.096,0.038,0.038,0.134,0.172,4.465,1.785,1.785,6.25,8.035,0.073,0.029,0.029,0.102,0.132,5.747,2.287,2.293,8.034,10.328,0.094,0.037,0.038,0.132,0.169,0.645,0.257,0.257,0.902,1.16,4.581,1.831,1.831,6.412,8.243,0.075,0.03,0.03,0.105,0.135,0.514,0.206,0.206,0.72,0.926,5.217,2.075,2.083,7.292,9.375,0.086,0.034,0.034,0.12,0.154,5.259,2.091,2.097,7.35,9.447,0.086,0.034,0.034,0.12,0.155,0.59,0.235,0.235,0.825,1.061,75.0
Daniel De Sousa,8,D,R,5'11,175,19.507,2014,Mississauga Steelheads,33,2,3,0,5,5,22,9.091,6,42,1,2,50.0,0.061,0.091,0.0,0.152,0.152,0.667,1.9,0.058,2,3,0,5,5,0.061,0.091,0.0,0.152,0.152,1.9,0.058,22,16,57.895,79,81,11.174,11.86,0.307,0.46,0.0,0.766,0.766,0.291,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,1.975,0.0,3.265,3.265,0.039,0.06,0.0,0.099,0.099,1.785,2.678,0.0,4.463,4.463,0.054,0.081,0.0,0.135,0.135,1.368,2.089,0.0,3.457,3.457,0.041,0.063,0.0,0.105,0.105,0.21,0.32,0.0,0.53,0.53,1.831,2.747,0.0,4.578,4.578,0.055,0.083,0.0,0.139,0.139,0.281,0.421,0.0,0.702,0.702,1.149,1.758,0.0,2.907,2.907,0.035,0.053,0.0,0.088,0.088,1.258,1.923,0.0,3.18,3.18,0.038,0.058,0.0,0.096,0.096,0.193,0.295,0.0,0.488,0.488,22.727
