Name,Number,Position,Shoots,Height,Weight,Age,Draft Year,Team,GP,G,1A,2A,Primary Points,Points,Shots,Dangerous Shots,Hits,Shooting Percentage,+/-,PIM,Face-offs Won,Face-offs Taken,Face-off Win%,G/GP,1A/GP,2A/GP,Primary Points/GP,Points/GP,Shots/GP,Dangerous Shots/GP,Hits/GP,Goals Created,Goals Created/GP,GF,GA,GF%,Team GF,Team GA,GF%Rel,eTOI,eG/60,e1A/60,e2A/60,ePrimary Points/60,ePoints/60,eShots/60,eDangerous Shots/60,eGoals Created/60,ES G,ES 1A,ES 2A,ES Primary Points,ES Points,ES G/GP,ES 1A/GP,ES 2A/GP,ES Primary Points/GP,ES Points/GP,ES Goals Created,ES Goals Created/GP,ES GF,ES GA,ES GF%,ES Team GF,ES Team GA,ES GF%Rel,PP G,PP 1A,PP 2A,PP Primary Points,PP Points,PP G/GP,PP 1A/GP,PP 2A/GP,PP Primary Points/GP,PP Points/GP,PP Goals Created,PP Goals Created/GP,ES eTOI,ES eG/60,ES e1A/60,ES e2A/60,ES ePrimary Points/60,ES ePoints/60
Cole Rafuse,44,LW,L,6'2,208,16.693,2017,Acadie-Bathurst Titan,54,2,1,2,3,5,24,11,34,8.333,-5,10,56,149,0.0,0.037,0.019,0.037,0.056,0.093,0.444,0.204,0.63,1.9,0.035,12,17,41.379,201,173,-13.404,8.995,0.247,0.124,0.247,0.371,0.618,2.965,1.359,0.235,2,1,2,3,5,0.037,0.019,0.037,0.056,0.093,1.9,0.035,12,17,41.379,139,111,-16.087,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.337,0.267,0.133,0.267,0.4,0.666
Anthony Sorrentino,16,C,L,6'4,210,19.603,2014,Cape Breton Screaming Eagles,67,22,2,10,24,34,141,84,6,15.603,2,22,134,263,0.0,0.328,0.03,0.149,0.358,0.507,2.104,1.254,0.09,14.7,0.219,54,34,61.364,210,271,21.669,13.106,1.503,0.137,0.683,1.64,2.323,9.634,5.74,1.004,14,2,8,16,24,0.209,0.03,0.119,0.239,0.358,10.1,0.151,34,26,56.667,147,176,13.701,8,0,2,8,10,0.119,0.0,0.03,0.119,0.149,4.6,0.069,10.396,1.206,0.172,0.689,1.378,2.067
Brandon Kosik,25,LW,L,6'1,190,19.608,2014,Victoriaville Tigres,2,0,0,0,0,0,3,1,1,0.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.5,0.0,0.0,1,0,100.0,10,4,30.769,8.78,0.0,0.0,0.0,0.0,0.0,10.251,3.417,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,100.0,6,2,28.571,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.983,0.0,0.0,0.0,0.0,0.0
Mathieu Ayotte,15,RW,R,5'11,154,19.414,2014,Victoriaville Tigres,50,20,19,9,39,48,141,73,44,14.184,-1,20,27,76,0.0,0.4,0.38,0.18,0.78,0.96,2.82,1.46,0.88,19.0,0.38,67,73,47.857,173,196,1.569,20.864,1.15,1.093,0.518,2.243,2.761,8.11,4.199,1.093,18,10,5,28,33,0.36,0.2,0.1,0.56,0.66,14.5,0.29,41,42,49.398,123,131,1.445,2,8,4,10,14,0.04,0.16,0.08,0.2,0.28,4.2,0.084,14.759,1.464,0.813,0.407,2.277,2.683
Shawn Boudrias,23,RW,R,6'3,182,16.003,2017,Charlottetown Islanders,53,4,0,4,4,8,63,36,14,6.349,-12,10,68,123,0.0,0.075,0.0,0.075,0.075,0.151,1.189,0.679,0.264,2.8,0.053,19,26,42.222,170,181,-7.124,11.047,0.41,0.0,0.41,0.41,0.82,6.456,3.689,0.287,1,0,2,1,3,0.019,0.0,0.038,0.019,0.057,0.9,0.017,11,23,32.353,109,125,-16.647,3,0,2,3,5,0.057,0.0,0.038,0.057,0.094,1.9,0.036,9.222,0.123,0.0,0.246,0.123,0.368
Adam Cheezo,41,C,R,6'3,187,16.868,2017,Val-d'Or Foreurs,28,1,1,1,2,3,25,12,8,4.0,3,6,51,142,0.0,0.036,0.036,0.036,0.071,0.107,0.893,0.429,0.286,1.0,0.036,9,6,60.0,101,101,10.802,8.876,0.241,0.241,0.241,0.483,0.724,6.036,2.897,0.241,1,1,1,2,3,0.036,0.036,0.036,0.071,0.107,1.0,0.036,9,6,60.0,72,62,7.059,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.054,0.266,0.266,0.266,0.532,0.798
Silas Mattawashish,29,C,R,5'11,170,17.441,2016,Val-d'Or Foreurs,2,0,0,0,0,0,1,1,1,0.0,1,0,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1,0,100.0,5,5,55.556,9.804,0.0,0.0,0.0,0.0,0.0,3.06,3.06,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,100.0,4,5,62.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.323,0.0,0.0,0.0,0.0,0.0
Austin McEneny,52,D,R,5'10,159,18.433,2015,Quebec Remparts,48,2,6,3,8,11,58,13,33,3.448,-10,18,0,0,0.0,0.042,0.125,0.063,0.167,0.229,1.208,0.271,0.688,3.4,0.071,31,39,44.286,127,197,6.491,14.448,0.173,0.519,0.26,0.692,0.952,5.018,1.125,0.294,2,6,2,8,10,0.042,0.125,0.042,0.167,0.208,3.2,0.067,23,33,41.071,84,144,5.606,0,0,1,0,1,0.0,0.0,0.021,0.0,0.021,0.2,0.004,12.365,0.202,0.607,0.202,0.809,1.011
Ryan McReynolds,24,RW,L,6'5,202,18.192,2015,Quebec Remparts,24,2,0,1,2,3,19,7,14,10.526,-1,6,1,1,0.0,0.083,0.0,0.042,0.083,0.125,0.792,0.292,0.583,1.7,0.071,4,6,40.0,86,93,-8.521,8.188,0.611,0.0,0.305,0.611,0.916,5.801,2.137,0.519,2,0,1,2,3,0.083,0.0,0.042,0.083,0.125,1.7,0.071,4,5,44.444,61,63,-5.121,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.155,0.699,0.0,0.349,0.699,1.048
Guillaume Rioux-Legault,15,D,L,6'3,190,20.666,2013,Rimouski Oceanic,32,0,1,1,1,2,24,0,30,0.0,-4,80,0,1,0.0,0.0,0.031,0.031,0.031,0.063,0.75,0.0,0.938,0.5,0.016,9,20,31.034,92,88,-23.933,12.278,0.0,0.153,0.153,0.153,0.305,3.665,0.0,0.076,0,1,1,1,2,0.0,0.031,0.031,0.031,0.063,0.5,0.016,9,13,40.909,63,60,-12.556,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.124,0.0,0.185,0.185,0.185,0.37
