Name,Number,Position,Shoots,Height,Weight,Age,Draft Year,Team,GP,G,1A,2A,Primary Points,Points,Shots,Shooting Percentage,+/-,PIM,Face-offs Won,Face-offs Taken,Face-off Win%,G/GP,1A/GP,2A/GP,Primary Points/GP,Points/GP,Shots/GP,Goals Created,Goals Created/GP,ES G,ES 1A,ES 2A,ES Primary Points,ES Points,ES G/GP,ES 1A/GP,ES 2A/GP,ES Primary Points/GP,ES Points/GP,ES Goals Created,ES Goals Created/GP,ES GF,ES GA,ES GF%,ES Team GF,ES Team GA,ES GF%Rel,ES eTOI,ES eG/60,ES e1A/60,ES e2A/60,ES ePrimary Points/60,ES ePoints/60,ES eGoals Created/60,PP G,PP 1A,PP 2A,PP Primary Points,PP Points,PP G/GP,PP 1A/GP,PP 2A/GP,PP Primary Points/GP,PP Points/GP,PP Goals Created,PP Goals Created/GP,Age Adjusted G,Age Adjusted 1A,Age Adjusted 2A,Age Adjusted Primary Points,Age Adjusted Points,Age Adjusted G/GP,Age Adjusted 1A/GP,Age Adjusted 2A/GP,Age Adjusted Primary Points/GP,Age Adjusted Points/GP,Era Adjusted G,Era Adjusted 1A,Era Adjusted 2A,Era Adjusted Primary Points,Era Adjusted Points,Era Adjusted G/GP,Era Adjusted 1A/GP,Era Adjusted 2A/GP,Era Adjusted Primary Points/GP,Era Adjusted Points/GP,ES Age Adjusted G,ES Age Adjusted 1A,ES Age Adjusted 2A,ES Age Adjusted Primary Points,ES Age Adjusted Points,ES Age Adjusted G/GP,ES Age Adjusted 1A/GP,ES Age Adjusted 2A/GP,ES Age Adjusted Primary Points/GP,ES Age Adjusted Points/GP,ES Age Adjusted G/60,ES Age Adjusted 1A/60,ES Age Adjusted 2A/60,ES Age Adjusted Primary Points/60,ES Age Adjusted Points/60,ES Era Adjusted G,ES Era Adjusted 1A,ES Era Adjusted 2A,ES Era Adjusted Primary Points,ES Era Adjusted Points,ES Era Adjusted G/GP,ES Era Adjusted 1A/GP,ES Era Adjusted 2A/GP,ES Era Adjusted Primary Points/GP,ES Era Adjusted Points/GP,ES Era Adjusted G/60,ES Era Adjusted 1A/60,ES Era Adjusted 2A/60,ES Era Adjusted Primary Points/60,ES Era Adjusted Points/60,Age and Era Adjusted G,Age and Era Adjusted 1A,Age and Era Adjusted 2A,Age and Era Adjusted Primary Points,Age and Era Adjusted Points,Age and Era Adjusted G/GP,Age and Era Adjusted 1A/GP,Age and Era Adjusted 2A/GP,Age and Era Adjusted Primary Points/GP,Age and Era Adjusted Points/GP,ES Age and Era Adjusted G,ES Age and Era Adjusted 1A,ES Age and Era Adjusted 2A,ES Age and Era Adjusted Primary Points,ES Age and Era Adjusted Points,ES Age and Era Adjusted G/GP,ES Age and Era Adjusted 1A/GP,ES Age and Era Adjusted 2A/GP,ES Age and Era Adjusted Primary Points/GP,ES Age and Era Adjusted Points/GP,ES Age and Era Adjusted G/60,ES Age and Era Adjusted 1A/60,ES Age and Era Adjusted 2A/60,ES Age and Era Adjusted Primary Points/60,ES Age and Era Adjusted Points/60,ES IPP
Reilly Walsh,13,D,R,5'11,180,16.403,2017,Tri-City Storm,2,1,0,1,1,2,4,25,-1,0,0,0,0,0.5,0,0.5,0.5,1,2,0.7,0.35,1,0,1,1,2,0.5,0,0.5,0.5,1,0.7,0.35,2,3,40,9,4,-47.5,16.663,1.8,0,1.8,1.8,3.601,1.26,0,0,0,0,0,0,0,0,0,0,0,0,1.194,0,1.192,1.194,2.386,0.597,0,0.596,0.597,1.193,1.039,0,1.04,1.039,2.079,0.519,0,0.52,0.519,1.039,1.173,0,1.17,1.173,2.342,0.586,0,0.585,0.587,1.171,2.111,0,2.106,2.111,4.217,1.069,0,1.07,1.069,2.139,0.534,0,0.535,0.534,1.07,1.925,0,1.926,1.925,3.851,1.241,0,1.241,1.241,2.482,0.621,0,0.62,0.621,1.241,1.252,0,1.25,1.252,2.502,0.626,0,0.625,0.626,1.251,2.254,0,2.25,2.254,4.504,100
Chris Allemon,21,LD,L,5'09,193,19.364,2014,Des Moines Buccaneers,51,2,5,3,7,10,71,2.817,-13,89,0,0,0,0.039,0.098,0.059,0.137,0.196,1.392,3.1,0.061,2,3,3,5,8,0.039,0.059,0.059,0.098,0.157,2.5,0.049,28,41,40.58,105,128,-6.371,13.843,0.17,0.255,0.255,0.425,0.68,0.212,0,2,0,2,2,0,0.039,0,0.039,0.039,0.6,0.012,1.34,3.413,2.02,4.754,6.773,0.026,0.067,0.04,0.093,0.133,2.08,5.206,3.122,7.286,10.408,0.041,0.102,0.061,0.143,0.204,1.413,2.154,2.135,3.567,5.702,0.028,0.042,0.042,0.07,0.112,0.12,0.183,0.181,0.303,0.485,2.14,3.211,3.213,5.351,8.564,0.042,0.063,0.063,0.105,0.168,0.182,0.273,0.273,0.455,0.728,1.391,3.545,2.099,4.937,7.035,0.027,0.07,0.041,0.097,0.138,1.518,2.316,2.297,3.834,6.131,0.03,0.045,0.045,0.075,0.12,0.129,0.197,0.195,0.326,0.521,28.571
Gianni Brandi,16,C,L,5'08,176,19.816,2014,Des Moines Buccaneers,9,0,0,0,0,0,7,0,-4,2,0,0,0,0,0,0,0,0,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16.667,17,19,-36.666,9.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christiano Versich,11,RW,R,5'07,157,18.701,2015,Chicago Steel,50,8,9,8,17,25,63,12.698,-5,24,0,0,0,0.16,0.18,0.16,0.34,0.5,1.26,9,0.18,4,7,6,11,17,0.08,0.14,0.12,0.22,0.34,5.5,0.11,32,36,47.059,95,107,0.044,14.993,0.32,0.56,0.48,0.88,1.361,0.44,4,2,2,6,8,0.08,0.04,0.04,0.12,0.16,3.5,0.07,6.3,7.16,6.315,13.46,19.775,0.126,0.143,0.126,0.269,0.395,8.337,9.385,8.347,17.722,26.069,0.167,0.188,0.167,0.354,0.521,3.244,5.728,4.886,8.972,13.857,0.065,0.115,0.098,0.179,0.277,0.26,0.458,0.391,0.718,1.109,4.284,7.51,6.442,11.794,18.236,0.086,0.15,0.129,0.236,0.365,0.343,0.601,0.516,0.944,1.46,6.559,7.456,6.584,14.015,20.599,0.131,0.149,0.132,0.28,0.412,3.481,6.162,5.259,9.643,14.901,0.07,0.123,0.105,0.193,0.298,0.279,0.493,0.421,0.772,1.193,53.125
Max Zimmer,6,LW,L,6'00,185,17.879,2016,Chicago Steel,49,11,13,2,24,26,124,8.871,-7,14,0,0,0,0.224,0.265,0.041,0.49,0.531,2.531,10.9,0.222,10,7,2,17,19,0.204,0.143,0.041,0.347,0.388,8.6,0.176,24,32,42.857,93,100,-7.508,13.672,0.896,0.627,0.179,1.523,1.702,0.77,1,6,0,7,7,0.02,0.122,0,0.143,0.143,2.3,0.047,10.262,12.161,1.867,22.423,24.291,0.209,0.248,0.038,0.458,0.496,11.476,13.578,2.08,25.054,27.134,0.234,0.277,0.042,0.511,0.554,9.403,6.599,1.883,16.002,17.885,0.192,0.135,0.038,0.327,0.365,0.842,0.591,0.169,1.433,1.602,10.741,7.51,2.141,18.251,20.392,0.219,0.153,0.044,0.372,0.416,0.962,0.673,0.192,1.635,1.827,10.704,12.697,1.941,23.401,25.342,0.218,0.259,0.04,0.478,0.517,10.106,7.084,2.017,17.19,19.207,0.206,0.145,0.041,0.351,0.392,0.905,0.635,0.181,1.54,1.72,79.167
Billy Jerry,27,C,R,6'3,187,17.704,2016,Madison Capitols,5,1,1,0,2,2,4,25,2,2,0,0,0,0.2,0.2,0,0.4,0.4,0.8,1.3,0.26,1,1,0,2,2,0.2,0.2,0,0.4,0.4,1.3,0.26,4,2,66.667,13,10,13.726,13.29,0.903,0.903,0,1.806,1.806,1.174,0,0,0,0,0,0,0,0,0,0,0,0,0.964,0.965,0,1.929,1.929,0.193,0.193,0,0.386,0.386,1.039,1.039,0,2.078,2.078,0.208,0.208,0,0.416,0.416,0.968,0.969,0,1.937,1.937,0.194,0.194,0,0.387,0.387,0.874,0.875,0,1.749,1.749,1.069,1.069,0,2.138,2.138,0.214,0.214,0,0.428,0.428,0.965,0.965,0,1.93,1.93,1.001,1.003,0,2.004,2.004,0.2,0.201,0,0.401,0.401,1.035,1.036,0,2.071,2.071,0.207,0.207,0,0.414,0.414,0.934,0.936,0,1.87,1.87,50
Ash Altmann,21,LW,L,6'02,175,17.299,2016,Chicago Steel,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,-20,7.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Sandelin,22,C,R,6'00,185,16.699,2017,Sioux City Musketeers,3,0,0,0,0,0,4,0,-2,0,0,0,0,0,0,0,0,0,1.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,10,-27.273,9.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brendan Demler,14,LD,L,6'02,181,18.077,2015,Des Moines Buccaneers,51,0,1,8,1,9,33,0,-7,41,0,0,0,0,0.02,0.157,0.02,0.176,0.647,1.9,0.037,0,1,7,1,8,0,0.02,0.137,0.02,0.157,1.7,0.033,30,38,44.118,108,128,-2.311,13.591,0,0.087,0.606,0.087,0.692,0.147,0,0,1,0,1,0,0,0.02,0,0.02,0.2,0.004,0,0.902,7.191,0.902,8.092,0,0.018,0.141,0.018,0.159,0,1.039,8.347,1.039,9.386,0,0.02,0.164,0.02,0.184,0,0.913,6.375,0.913,7.288,0,0.018,0.125,0.018,0.143,0,0.079,0.552,0.079,0.631,0,1.069,7.521,1.069,8.59,0,0.021,0.147,0.021,0.168,0,0.093,0.651,0.093,0.744,0,0.936,7.5,0.936,8.436,0,0.018,0.147,0.018,0.165,0,0.977,6.857,0.977,7.834,0,0.019,0.134,0.019,0.154,0,0.085,0.594,0.085,0.678,26.667
Carter Ekberg,15,RD,R,6'01,186,18.337,2015,Youngstown Phantoms,9,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,40,15,17,-8.148,9.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
