Name,Number,Position,Shoots,Height,Weight,Age,Draft Year,Team,GP,G,1A,2A,Primary Points,Points,+/-,PIM,Face-offs Won,Face-offs Taken,Face-off Win%,G/GP,1A/GP,2A/GP,Primary Points/GP,Points/GP,Goals Created,Goals Created/GP,ES G,ES 1A,ES 2A,ES Primary Points,ES Points,ES G/GP,ES 1A/GP,ES 2A/GP,ES Primary Points/GP,ES Points/GP,ES Goals Created,ES Goals Created/GP,ES eTOI,ES eG/60,ES e1A/60,ES e2A/60,ES ePrimary Points/60,ES ePoints/60,ES eGoals Created/60,ES GF,ES GA,ES GF%,ES GF%Rel,PP G,PP 1A,PP 2A,PP Primary Points,PP Points,PP G/GP,PP 1A/GP,PP 2A/GP,PP Primary Points/GP,PP Points/GP,PP Goals Created,PP Goals Created/GP
Vladimir Bobylev,23,C,L,6'2,202,18.411,2015,Victoria Royals,72,27,22,18,49,67,45,70,0,0,0.0,0.375,0.306,0.25,0.681,0.931,27.0,0.375,22,19,14,41,55,0.306,0.264,0.194,0.569,0.764,22.2,0.308,14.865,1.233,1.065,0.785,2.298,3.083,1.245,75,28,72.816,15.328,5,3,4,8,12,0.069,0.042,0.056,0.111,0.167,4.8,0.067
Dawson Holt,10,RW,R,5'11,182,16.578,2017,Vancouver Giants,40,0,4,4,4,8,-12,20,0,0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,0.05,0,4,4,4,8,0.0,0.1,0.1,0.1,0.2,2.0,0.05,11.009,0.0,0.545,0.545,0.545,1.09,0.272,13,25,34.211,-4.351,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Osterman,34,RW,R,6'0.5,189,18.238,2015,Seattle Thunderbirds,35,0,1,0,1,1,-2,83,0,0,0.0,0.0,0.029,0.0,0.029,0.029,0.3,0.009,0,1,0,1,1,0.0,0.029,0.0,0.029,0.029,0.3,0.009,6.745,0.0,0.254,0.0,0.254,0.254,0.076,3,5,37.5,-19.167,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Wedman,21,LW,L,6'1.5,189,16.31,2017,Seattle Thunderbirds,70,6,2,6,8,14,-3,34,0,0,0.0,0.086,0.029,0.086,0.114,0.2,5.7,0.081,6,2,5,8,13,0.086,0.029,0.071,0.114,0.186,5.5,0.079,9.112,0.564,0.188,0.47,0.753,1.223,0.517,18,21,46.154,-7.432,0,0,1,0,1,0.0,0.0,0.014,0.0,0.014,0.2,0.003
Reece Harsch,32,D,R,6'3,190,16.688,2017,Seattle Thunderbirds,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.871,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sahvan Khaira,7,D,R,6'3.5,218,17.701,2016,Seattle Thunderbirds,67,1,6,4,7,11,-19,53,0,0,0.0,0.015,0.09,0.06,0.104,0.164,3.6,0.054,1,2,3,3,6,0.015,0.03,0.045,0.045,0.09,2.2,0.033,10.26,0.087,0.175,0.262,0.262,0.524,0.192,17,34,33.333,-15.603,0,4,1,4,5,0.0,0.06,0.015,0.06,0.075,1.4,0.021
David Brumm,12,C,L,6'1,180,18.079,2015,Vancouver Giants,42,5,2,0,7,7,-4,20,0,0,0.0,0.119,0.048,0.0,0.167,0.167,3.5,0.083,5,2,0,7,7,0.119,0.048,0.0,0.167,0.167,3.5,0.083,8.961,0.797,0.319,0.0,1.116,1.116,0.558,11,15,42.308,3.672,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wyatt Bear,18,RW,R,6'0.5,227,16.373,2017,Seattle Thunderbirds,9,0,0,1,0,1,3,0,0,0,0.0,0.0,0.0,0.111,0.0,0.111,0.2,0.022,0,0,1,0,1,0.0,0.0,0.111,0.0,0.111,0.2,0.022,6.813,0.0,0.0,0.979,0.0,0.979,0.196,3,0,100.0,40.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Owre,11,C,R,5'11,168,19.236,2014,Medicine Hat Tigers,49,17,21,9,38,47,-1,32,0,0,0.0,0.347,0.429,0.184,0.776,0.959,18.4,0.376,13,14,6,27,33,0.265,0.286,0.122,0.551,0.673,13.5,0.276,16.239,0.98,1.056,0.452,2.036,2.488,1.018,47,43,52.222,13.555,4,7,3,11,14,0.082,0.143,0.061,0.224,0.286,4.9,0.1
Drayton Thunder Chief,24,LW,L,6'1,179,17.518,2016,Lethbridge Hurricanes,4,0,2,0,2,2,1,0,0,0,0.0,0.0,0.5,0.0,0.5,0.5,0.6,0.15,0,1,0,1,1,0.0,0.25,0.0,0.25,0.25,0.3,0.075,6.102,0.0,2.458,0.0,2.458,2.458,0.737,1,0,100.0,40.0,0,1,0,1,1,0.0,0.25,0.0,0.25,0.25,0.3,0.075
Kole Gable,34,LW,L,5'10,171,17.162,2016,Edmonton Oil Kings,53,6,5,0,11,11,-6,30,0,0,0.0,0.113,0.094,0.0,0.208,0.208,5.2,0.098,5,4,0,9,9,0.094,0.075,0.0,0.17,0.17,4.4,0.083,8.97,0.631,0.505,0.0,1.136,1.136,0.555,11,17,39.286,-9.894,1,1,0,2,2,0.019,0.019,0.0,0.038,0.038,0.8,0.015
Matt Bradley,7,C,R,5'11,188,18.647,2015,Medicine Hat Tigers,68,23,12,15,35,50,-15,45,0,0,0.0,0.338,0.176,0.221,0.515,0.735,19.3,0.284,17,6,8,23,31,0.25,0.088,0.118,0.338,0.456,13.1,0.193,14.943,1.004,0.354,0.472,1.358,1.83,0.774,50,61,45.045,3.267,5,5,6,10,16,0.074,0.074,0.088,0.147,0.235,5.2,0.076
Brad Forrest,2,D,L,5'11,177,18,2015,Medicine Hat Tigers,72,1,4,8,5,13,-29,26,0,0,0.0,0.014,0.056,0.111,0.069,0.181,3.3,0.046,1,3,6,4,10,0.014,0.042,0.083,0.056,0.139,2.6,0.036,13.938,0.06,0.179,0.359,0.239,0.598,0.155,39,66,37.143,-7.796,0,1,2,1,3,0.0,0.014,0.028,0.014,0.042,0.7,0.01
Jordy Bellerive,15,C,L,5'10,190,16.373,2017,Lethbridge Hurricanes,65,11,12,13,23,36,16,95,0,0,0.0,0.169,0.185,0.2,0.354,0.554,12.1,0.186,6,8,9,14,23,0.092,0.123,0.138,0.215,0.354,7.4,0.114,11.238,0.493,0.657,0.739,1.15,1.889,0.608,41,25,62.121,3.178,4,3,4,7,11,0.062,0.046,0.062,0.108,0.169,3.7,0.057
Egor Babenko,22,LW,L,5'9,157,18.608,2015,Lethbridge Hurricanes,67,29,20,20,49,69,26,46,0,0,0.0,0.433,0.299,0.299,0.731,1.03,26.9,0.401,22,16,13,38,51,0.328,0.239,0.194,0.567,0.761,20.8,0.31,14.08,1.399,1.018,0.827,2.417,3.244,1.323,64,35,64.646,9.779,7,4,7,11,18,0.104,0.06,0.104,0.164,0.269,6.1,0.091
Jesse Shynkaruk,8,C,L,5'10,171,19.359,2014,Moose Jaw Warriors,64,10,6,4,16,20,-17,56,0,0,0.0,0.156,0.094,0.063,0.25,0.313,8.5,0.133,10,6,1,16,17,0.156,0.094,0.016,0.25,0.266,7.9,0.123,10.641,0.881,0.529,0.088,1.41,1.498,0.696,22,36,37.931,-14.342,0,0,3,0,3,0.0,0.0,0.047,0.0,0.047,0.6,0.009
Aaron Macklin,18,LW,L,6'2,200,20.66,2013,Regina Pats,62,2,6,2,8,10,-16,139,0,0,0.0,0.032,0.097,0.032,0.129,0.161,3.2,0.052,2,4,0,6,6,0.032,0.065,0.0,0.097,0.097,2.2,0.035,9.397,0.206,0.412,0.0,0.618,0.618,0.227,15,29,34.091,-17.548,0,2,2,2,4,0.0,0.032,0.032,0.032,0.065,1.0,0.016
Jayden Halbgewachs,12,C,L,5'8,159,18.485,2015,Moose Jaw Warriors,69,15,17,9,32,41,-2,4,0,0,0.0,0.217,0.246,0.13,0.464,0.594,14.6,0.212,11,16,6,27,33,0.159,0.232,0.087,0.391,0.478,11.7,0.17,13.89,0.689,1.002,0.376,1.69,2.066,0.732,51,48,51.515,0.702,3,1,3,4,7,0.043,0.014,0.043,0.058,0.101,2.4,0.035
Connor Clouston,25,D,L,6'3,205,19.26,2014,Medicine Hat Tigers,56,2,2,2,4,6,-3,142,0,0,0.0,0.036,0.036,0.036,0.071,0.107,2.7,0.048,2,2,1,4,5,0.036,0.036,0.018,0.071,0.089,2.5,0.045,11.031,0.194,0.194,0.097,0.389,0.486,0.243,27,30,47.368,4.641,0,0,1,0,1,0.0,0.0,0.018,0.0,0.018,0.2,0.004
