Team Name,GP,Est.FC%,GF,GA,GD,GF%,SF,SA,SD,SF%,Sh%,Sv%,PDO,GF/GP,GA/GP,SF/GP,SA/GP
Gatineau Olympiques,68,58.17,248,172,76,59.05,2218,1700,518,56.61,10.98,90.15,101.13,3.65,2.53,32.62,25
Rouyn-Noranda Huskies,68,56.02,301,179,122,62.71,2325,1787,538,56.54,12.49,90.08,102.57,4.43,2.63,34.19,26.28
Val-d'Or Foreurs,68,54.07,293,196,97,59.92,2299,1979,320,53.74,12.4,90.19,102.59,4.31,2.88,33.81,29.1
Cape Breton Screaming Eagles,68,53.59,285,236,49,54.7,2254,1954,300,53.56,12.18,88.28,100.46,4.19,3.47,33.15,28.74
Shawinigan Cataractes,68,53.21,277,219,58,55.85,2248,2015,233,52.73,11.81,89.4,101.21,4.07,3.22,33.06,29.63
Saint John Sea Dogs,68,52.23,254,222,32,53.36,2316,2187,129,51.43,10.77,90.01,100.78,3.74,3.26,34.06,32.16
Moncton Wildcats,68,51.14,266,248,18,51.75,2223,2019,204,52.4,11.61,88.07,99.68,3.91,3.65,32.69,29.69
Blainville-Boisbriand Armada,68,50.43,169,199,-30,45.92,1796,1799,-3,49.96,9.26,89.59,98.85,2.49,2.93,26.41,26.46
Charlottetown Islanders,68,49.4,225,230,-5,49.45,2214,2315,-101,48.88,9.96,90.34,100.3,3.31,3.38,32.56,34.04
Rimouski Oceanic,68,49.14,203,201,2,50.25,2051,2036,15,50.18,9.5,90.39,99.89,2.99,2.96,30.16,29.94
Quebec Remparts,68,47.99,204,257,-53,44.25,1929,2220,-291,46.49,10.25,89.02,99.27,3,3.78,28.37,32.65
Acadie-Bathurst Titan,68,47.99,222,251,-29,46.93,2120,2264,-144,48.36,10.26,89.11,99.37,3.26,3.69,31.18,33.29
Victoriaville Tigres,68,47.39,246,245,1,50.1,1939,2132,-193,47.63,12.37,88.84,101.21,3.62,3.6,28.51,31.35
Sherbrooke Phoenix,68,47.16,207,239,-32,46.41,2044,2260,-216,47.49,9.82,89.86,99.68,3.04,3.51,30.06,33.24
Drummondville Voltigeurs,68,46.09,187,264,-77,41.46,1839,2103,-264,46.65,9.97,87.91,97.88,2.75,3.88,27.04,30.93
Halifax Mooseheads,68,45.89,193,276,-83,41.15,1991,2328,-337,46.1,9.28,88.37,97.65,2.84,4.06,29.28,34.24
Chicoutimi Sagueneens,68,45.89,219,211,8,50.93,1905,2213,-308,46.26,11.08,90.79,101.87,3.22,3.1,28.01,32.54
Baie-Comeau Drakkar,68,44.28,145,299,-154,32.66,1831,2231,-400,45.08,7.72,86.95,94.67,2.13,4.4,26.93,32.81
